Año,Semana,No. Casos,Temperatura,Precipitacion,H. Relativa,No. Busquedas
2008,1,4,21.525,0.66,71.25,0
2008,2,11,20.85714286,4.257142857,77.14285714,11
2008,3,6,21.67142857,0.057142857,72.85714286,0
2008,4,7,22.3,1.314285714,72.42857143,10
2008,5,5,21.15714286,0,66.71428571,0
2008,6,3,22.35714286,1.628571429,67.28571429,9
2008,7,7,21.87142857,3.042857143,74.14285714,0
2008,8,5,20.75714286,16.68571429,76.85714286,8
2008,9,2,22.18571429,0.171428571,71.71428571,0
2008,10,7,20.75714286,3.657142857,77.57142857,0
2008,11,4,19.78571429,10.31428571,79,0
2008,12,4,22.15714286,0.3,72,37
2008,13,1,22.14285714,2.8,73.42857143,9
2008,14,7,20.72857143,4.9,73.14285714,0
2008,15,6,21.85714286,1.671428571,71.14285714,0
2008,16,5,22.92857143,6,68.14285714,9
2008,17,3,21.7,13.52857143,77.42857143,10
2008,18,3,21.3,10.94285714,79.57142857,0
2008,19,5,22.12857143,10.98571429,77,0
2008,20,5,22.72857143,3.257142857,73.28571429,8
2008,21,7,20.5,12.45714286,83.28571429,0
2008,22,2,20.72857143,10.84285714,79.57142857,0
2008,23,1,22.17142857,7.171428571,73.71428571,36
2008,24,2,21.85714286,8.357142857,75.57142857,0
2008,25,3,22.14285714,3.685714286,76.71428571,0
2008,26,2,21.4,10.15714286,79.42857143,12
2008,27,1,21.85714286,6.028571429,78.14285714,19
2008,28,4,21.68571429,2.328571429,77.42857143,29
2008,29,7,21.08571429,12.97142857,81,0
2008,30,4,23.17142857,2.014285714,64.42857143,0
2008,31,4,22.31428571,5.7,72.57142857,0
2008,32,3,22.72857143,1.7,68,9
2008,33,2,21.25714286,7.714285714,75.5,10
2008,34,3,20.82857143,9.642857143,79.57142857,27
2008,35,10,20.14285714,17.71428571,82,28
2008,36,1,21,6.7,79.85714286,0
2008,37,0,23.05714286,0.1,63.14285714,18
2008,38,3,21.87142857,5.028571429,72,19
2008,39,3,21.35714286,11.37142857,77.14285714,0
2008,40,4,21.82857143,10.62857143,74.28571429,20
2008,41,4,20.74285714,10.48571429,77.28571429,10
2008,42,4,20.48571429,11.5,80.71428571,26
2008,43,1,22.71428571,2.042857143,74.28571429,23
2008,44,6,21.44285714,6.728571429,77.85714286,29
2008,45,4,21.27142857,4.7,77.57142857,26
2008,46,4,21.48571429,5.214285714,77.85714286,9
2008,47,3,21.21428571,4.942857143,79.14285714,0
2008,48,3,20.1,8.514285714,85.14285714,10
2008,49,0,21.45714286,2.471428571,76.71428571,11
